DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2005-12-11,2005-12-17,SUDESTE,SAO PAULO,GASOLINA COMUM,3551,R$/l,2.365,0.094,2.089,2.71,0.253,0.04,2.112,0.051,1.95,2.4842,0.024,12,2005
2005-12-18,2005-12-24,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,909,R$/l,2.515,0.115,2.219,2.96,0.235,0.046,2.28,0.056,2.1166,2.5275,0.025,12,2005
2005-12-18,2005-12-24,SUDESTE,SAO PAULO,GASOLINA COMUM,3535,R$/l,2.368,0.094,2.04,2.71,0.251,0.04,2.117,0.05,2.0008,2.461,0.024,12,2005
2005-12-25,2005-12-31,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,933,R$/l,2.508,0.115999999999999,2.219,2.96,0.229,0.046,2.279,0.055,2.1094,2.5194,0.024,12,2005
2005-12-25,2005-12-31,SUDESTE,SAO PAULO,GASOLINA COMUM,3380,R$/l,2.372,0.096,2.089,2.71,0.253,0.04,2.119,0.05,2.0006,2.455,0.024,12,2005
2006-01-01,2006-01-07,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,905,R$/l,2.533,0.12,2.249,2.96,0.242,0.047,2.291,0.059,2.1053,2.6754,0.026,1,2006
2006-01-01,2006-01-07,SUDESTE,SAO PAULO,GASOLINA COMUM,3550,R$/l,2.383,0.098,2.089,2.689,0.257,0.0409999999999999,2.126,0.052,2.012,2.494,0.024,1,2006
2006-01-08,2006-01-14,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,918,R$/l,2.538,0.123,2.249,2.98,0.235,0.048,2.303,0.055,2.0745,2.5291,0.024,1,2006
2006-01-08,2006-01-14,SUDESTE,SAO PAULO,GASOLINA COMUM,3469,R$/l,2.395,0.102,2.09,2.71,0.255,0.043,2.14,0.053,2.04,2.5891,0.025,1,2006
2006-01-15,2006-01-21,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,916,R$/l,2.547,0.12,2.28,2.98,0.239,0.047,2.308,0.055,2.0889,2.6528,0.024,1,2006
2006-01-15,2006-01-21,SUDESTE,SAO PAULO,GASOLINA COMUM,3530,R$/l,2.396,0.103,2.13,2.98,0.257,0.043,2.139,0.053,2.03,2.58,0.025,1,2006
